approach,pollutant,temporal_level,matching_or_aggregation,evaluation_target,headline_metric,headline_value,comparison_baseline,beats_baseline,spatial_signal_result,main_limitation,final_role,source_file
raw SDS011 baseline,PM10,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,46.310,constant-mean baseline,no,Spearman 0.179; prediction/reference std ratio 6.517,Raw SDS011 annual values have weak rank signal but very large error and malfunction tails.,not reference-grade; comparison only,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
raw SDS011 baseline,PM2.5,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,26.959,constant-mean baseline,no,Spearman 0.194; prediction/reference std ratio 7.892,Raw SDS011 annual values have weak rank signal but very large error and malfunction tails.,not reference-grade; comparison only,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
constant-mean baseline,PM10,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,2.911,constant-mean baseline,,Spearman undefined; prediction/reference std ratio 0.000,Lowest annual RMSE because it removes spatial variation.,diagnostic baseline only,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
constant-mean baseline,PM2.5,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,1.836,constant-mean baseline,,Spearman undefined; prediction/reference std ratio 0.000,Lowest annual RMSE because it removes spatial variation.,diagnostic baseline only,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
national percentile/range mapping,PM10,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,20.860,constant-mean baseline,no,Spearman 0.179; prediction/reference std ratio 2.917,"Plausible national annual distribution, but not paired local calibration.",current proxy label candidate only; not reference-grade,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
national percentile/range mapping,PM2.5,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,12.559,constant-mean baseline,no,Spearman 0.194; prediction/reference std ratio 3.656,"Plausible national annual distribution, but not paired local calibration.",current proxy label candidate only; not reference-grade,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
OLS regression adjustment,PM10,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,3.098,constant-mean baseline,no,Spearman 0.179; prediction/reference std ratio 0.146,Greatly reduces raw error but collapses most annual spatial variation.,archived sensitivity labels; not main calibration,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
OLS regression adjustment,PM2.5,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,1.919,constant-mean baseline,no,Spearman 0.194; prediction/reference std ratio 0.160,Greatly reduces raw error but collapses most annual spatial variation.,archived sensitivity labels; not main calibration,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
Huber regression adjustment,PM10,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,3.157,constant-mean baseline,no,Spearman 0.179; prediction/reference std ratio 0.172,Greatly reduces raw error but collapses most annual spatial variation.,kept for report comparison,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
Huber regression adjustment,PM2.5,annual,nearest SDS011-UBA pairs within 20 km; non-Sachsen-Anhalt LOO folds,held-out UBA annual station-balanced RMSE,mean RMSE,2.169,constant-mean baseline,no,Spearman 0.194; prediction/reference std ratio 0.258,Greatly reduces raw error but collapses most annual spatial variation.,kept for report comparison,data/processed/calibration/regression_reference_adjustment/method_comparison/aggregate_metrics.csv; data/processed/calibration/regression_reference_adjustment/method_comparison/signal_preservation_metrics.csv
