model,validation_fold,fraction,seed,pollutant,n_train_before_buffer,n_buffer_dropped,n_train_after_buffer,n_train_sampled,sampled_counts_by_source_fold,best_epoch,rmse,mae,r2,n_validation,total_parameters,trainable_parameters,frozen_parameters,source
cnn_deep_wide,fold1_iberia,1.0,,pm25,1665,3,1662,1662,,10,2.33018312758167,1.798564620495277,0.1803561030468701,204,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold2_france,1.0,,pm25,1507,115,1392,1392,,27,1.9989017009396288,1.501409489126044,-0.4595374300038672,362,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold3_italy,1.0,,pm25,1583,25,1558,1558,,18,3.5075249645259814,2.749458204631775,0.3288895922033836,286,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold4_alpine,1.0,,pm25,1616,150,1466,1466,,1,1.945808891291632,1.5016138116908042,-0.186887305926624,253,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold5_north,1.0,,pm25,1672,0,1672,1672,,1,3.418648616619979,3.002089749791608,-1.57937052453515,197,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold6_balkan_e,1.0,,pm25,1723,65,1658,1658,,71,6.168412922723306,4.290386371188098,0.0023818105200357,146,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold7_balkan_s,1.0,,pm25,1725,12,1713,1713,,37,6.680506833658402,4.837699455244272,-0.0198074279756292,144,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold8_poland,1.0,,pm25,1592,54,1538,1538,,12,4.653870649026875,3.8091321681033694,-1.440511196206709,277,4536401,4536401,0,canonical_cv
cnn_deep_wide,fold1_iberia,0.25,1,pm25,1665,3,1662,415,"{""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",19,2.473516291296298,1.8577192222984862,0.07641971142219584,204,4536401,4536401,0,ablation_run
cnn_deep_wide,fold2_france,0.25,1,pm25,1507,115,1392,347,"{""fold1_iberia"": 46, ""fold3_italy"": 69, ""fold4_alpine"": 42, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",30,1.9627108138787441,1.4251194944971053,-0.40716491075161,362,4536401,4536401,0,ablation_run
cnn_deep_wide,fold3_italy,0.25,1,pm25,1583,25,1558,389,"{""fold1_iberia"": 51, ""fold2_france"": 88, ""fold4_alpine"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",49,3.9289465801166212,3.0247314447321987,0.157936817252061,286,4536401,4536401,0,ablation_run
