fraction,seed,cnn_rmse,resnet_rmse,rmse_gap_resnet_minus_cnn,cnn_mae,resnet_mae,mae_gap_resnet_minus_cnn
0.25,1,3.9538717531954144,5.272087949507504,1.3182161963120893,2.738464269670986,3.906606640485241,1.1681423708142549
0.25,2,3.7494750402503594,5.339035339653924,1.5895602994035642,2.6209758683465796,3.989404321254888,1.3684284529083084
0.25,3,3.8360646887341026,5.328232445166567,1.492167756432464,2.655593280841431,3.9574277092403687,1.3018344283989376
0.5,1,3.887837331660881,5.217876568007751,1.3300392363468694,2.618029699275947,3.8820628600707057,1.2640331607947588
0.5,2,3.920593460511273,5.265111224299698,1.3445177637884251,2.7148127869412737,3.9190149868748057,1.204202199933532
0.5,3,3.9417707069296934,5.275135630950292,1.3333649240205983,2.6864942534420617,3.944264949940491,1.2577706964984294
1.0,,3.822866467296536,4.894636857664803,1.0717703903682674,2.699966389271987,3.6632484026145877,0.9632820133426008
0.25,mean,3.8464704940599588,5.313118578109331,1.4666480840493723,2.6716778062863322,3.951146223660166,1.2794684173738335
0.5,mean,3.9167338330339496,5.2527078077525795,1.335973974718631,2.673112246553094,3.915114265628668,1.2420020190755734
1.0,mean,3.822866467296536,4.894636857664803,1.0717703903682674,2.699966389271987,3.6632484026145877,0.9632820133426008
