experiment,fold,epoch,train_loss,best_so_far,epochs_since_improvement,lr_group_0,lr_head,train_seconds,train_batch_avg_seconds,train_eval_seconds,val_loss_seconds,val_seconds,total_seconds,data_wait_seconds,to_device_seconds,forward_seconds,backward_seconds,optimizer_seconds,train_pm25_rmse,train_pm25_mae,train_pm25_r2,train_pm25_n,val_pm25_rmse,val_pm25_mae,val_pm25_r2,val_pm25_n,val_loss
resnet_frozen,fold7_balkan_s,1,0.8110523402133835,True,0,1e-05,1e-05,0.4892878010869026,0.12232195027172565,0.26912251114845276,0.1404369529336691,0.24355155788362026,1.143582358956337,0.36276106908917427,0.010096248239278793,0.07756477780640125,0.033765846863389015,0.004456929862499237,4.887510318137903,3.4544886451339627,-0.03381906809863544,428,10.014063285990163,8.050914293156412,-1.2915008025067896,144,0.8703710436820984
resnet_frozen,fold7_balkan_s,2,0.7912568243864541,False,1,1e-05,1e-05,0.4417095649987459,0.11042739124968648,0.28677611239254475,0.0975580494850874,0.24460047110915184,1.07195283472538,0.339159632101655,0.010147659108042717,0.06128687039017677,0.026307040825486183,0.0041432008147239685,4.892935918412092,3.4479523704093284,-0.03611561663340335,428,10.053593049538698,8.086502780822068,-1.309627564058832,144,0.8787459135055542
resnet_frozen,fold7_balkan_s,3,0.8287717427048727,False,2,1e-05,1e-05,0.4715122301131487,0.11787805752828717,0.28591540083289146,0.10098045505583286,0.2444521877914667,1.104139782488346,0.3689023647457361,0.010314557701349258,0.06130592338740826,0.02664359286427498,0.003759510815143585,4.899948308740104,3.447854801790101,-0.03908759652029681,428,10.09874377246262,8.13129507040845,-1.3304192387680902,144,0.8886796236038208
resnet_frozen,fold7_balkan_s,4,0.8313617973684151,False,3,1e-05,1e-05,0.41895031183958054,0.10473757795989513,0.2703234311193228,0.08886091597378254,0.24513128027319908,1.0245490185916424,0.3089133147150278,0.01024421863257885,0.06126079149544239,0.033888159319758415,0.004036864265799522,4.90392366487548,3.4525539917695123,-0.040774315905675484,428,10.136676231073144,8.168586140846344,-1.3479589551247182,144,0.8971650004386902
resnet_frozen,fold7_balkan_s,5,0.8647269311352311,False,4,1e-05,1e-05,0.4117317162454128,0.1029329290613532,0.2840649504214525,0.08876084722578526,0.2506551332771778,1.0365350767970085,0.3068369831889868,0.01031598448753357,0.06125628016889095,0.028770172968506813,0.003945557400584221,4.912108348415308,3.4590018122378585,-0.044251334569445744,428,10.195003567156805,8.226277135625935,-1.3750574240393507,144,0.9106801152229309
resnet_frozen,fold7_balkan_s,6,0.754500950608298,False,5,1e-05,1e-05,0.40131295286118984,0.10032823821529746,0.3915852475911379,0.08814501576125622,0.24449440836906433,1.1268184147775173,0.30176137015223503,0.010279227048158646,0.06116003356873989,0.023974716663360596,0.00355447456240654,4.918704959350654,3.4705407415428167,-0.04705792786061558,428,10.24877015652134,8.278283572076711,-1.4001747212167048,144,0.922619104385376
resnet_frozen,fold7_balkan_s,7,0.7969397250736985,False,6,1e-05,1e-05,0.40450541488826275,0.10112635372206569,0.2903299741446972,0.1251679491251707,0.24570097215473652,1.067016065120697,0.3036034256219864,0.010332247242331505,0.06465158425271511,0.02184462547302246,0.003492206335067749,4.9216081071037046,3.4835354733400163,-0.04829429433089949,428,10.296284521615913,8.3242512948785,-1.4224812288937958,144,0.9330357313156128
resnet_frozen,fold7_balkan_s,8,0.7373582269543799,False,7,1e-05,1e-05,0.44851288944482803,0.11212822236120701,0.27877320908010006,0.09159319661557674,0.2484809998422861,1.0686570350080729,0.34971041791141033,0.00999782420694828,0.06127632223069668,0.02332175523042679,0.0036123543977737427,4.927027279908819,3.4938274654028376,-0.05060411478594018,428,10.35499086295472,8.380127939815614,-1.450184512225091,144,0.9461373090744019
resnet_frozen,fold7_balkan_s,9,0.7569676336841048,False,8,1e-05,1e-05,0.4407589342445135,0.11018973356112838,0.2951782252639532,0.09234974719583988,0.24808626249432564,1.0776758342981339,0.342467587441206,0.010124165564775467,0.06125016137957573,0.022906221449375153,0.0034308284521102905,4.9273721519318485,3.5038040330532874,-0.05075119602843925,428,10.406838266468855,8.428997520958598,-1.4747820691796818,144,0.9582751393318176
resnet_frozen,fold7_balkan_s,10,0.7594033802781149,False,9,1e-05,1e-05,0.43263616785407066,0.10815904196351767,0.2861619424074888,0.09208222664892673,0.24750356003642082,1.0596596542745829,0.33388834819197655,0.010134924203157425,0.06123834103345871,0.023399971425533295,0.0033922363072633743,4.925601509337953,3.506611765603852,-0.04999616049171274,428,10.448235667577338,8.473269596626023,-1.4945101192488224,144,0.9678831100463867
resnet_frozen,fold7_balkan_s,11,0.7599163367369465,False,10,1e-05,1e-05,0.4536368027329445,0.11340920068323612,0.28031005151569843,0.0922409687191248,0.2564276084303856,1.0839032996445894,0.34235014021396637,0.010037876665592194,0.06122530810534954,0.035391561686992645,0.004033956676721573,4.920653462718007,3.5067289859066837,-0.04788765845770926,428,10.482190840418136,8.511804913873574,-1.510750020121613,144,0.9763711094856262
resnet_frozen,fold7_balkan_s,12,0.7928122048066041,False,11,1e-05,1e-05,0.4317990094423294,0.10794975236058235,0.2847591023892164,0.09228754043579102,0.24763979203999043,1.057762524113059,0.3225632756948471,0.009903503581881523,0.06125244311988354,0.03300144895911217,0.00446280837059021,4.914268919193123,3.502286690749995,-0.04517015595677565,428,10.507665995949885,8.54135121004147,-1.5229687389432995,144,0.98322594165802
resnet_frozen,fold7_balkan_s,13,0.7785877602122654,False,12,1e-05,1e-05,0.4244016371667385,0.10610040929168463,0.2778819873929024,0.09100515954196453,0.2473786510527134,1.0419496558606625,0.3256597016006708,0.010126074776053429,0.061281291767954826,0.02314852364361286,0.003572249785065651,4.909525040008704,3.499503487195609,-0.04315326681056719,428,10.53131092949583,8.568844658993903,-1.534336163102477,144,0.9899613857269287
resnet_frozen,fold7_balkan_s,14,0.8025226414760697,False,13,1e-05,1e-05,0.41506696306169033,0.10376674076542258,0.2894398458302021,0.08998455852270126,0.2464293111115694,1.042202640324831,0.3168912511318922,0.010136758908629417,0.06123176030814648,0.022623084485530853,0.003549080342054367,4.907552035364813,3.4979136784953506,-0.04231500540384103,428,10.563585646050287,8.604089274877342,-1.5498936408194899,144,0.9986442923545837
resnet_frozen,fold7_balkan_s,15,0.8043389899708401,False,14,1e-05,1e-05,0.42677897959947586,0.10669474489986897,0.2655940651893616,0.0871608555316925,0.2430127914994955,1.0238351002335548,0.3294718097895384,0.010124584659934044,0.06146879494190216,0.021781641989946365,0.0033700261265039444,4.899478733677895,3.491883614793643,-0.03888844901414412,428,10.564628333462776,8.606414390454416,-1.5503970443622301,144,0.999190092086792
resnet_frozen,fold7_balkan_s,16,0.8009551395879728,False,15,1e-05,1e-05,0.39277295023202896,0.09819323755800724,0.2802845723927021,0.08696203865110874,0.24465986154973507,1.0059585608541965,0.29692093655467033,0.010182499885559082,0.06130685284733772,0.020287642255425453,0.003499779850244522,4.885360549251474,3.483432012067964,-0.03290981854392627,428,10.552148230946178,8.594404604478393,-1.5443749836745182,144,0.996272087097168
resnet_frozen,fold7_balkan_s,17,0.7925086957271968,False,16,1e-05,1e-05,0.43006373941898346,0.10751593485474586,0.26994688250124454,0.0887583177536726,0.24464948289096355,1.0346910450607538,0.33133755065500736,0.010177308693528175,0.06122132018208504,0.023313982412219048,0.0034428369253873825,4.874653510038935,3.4723448910048815,-0.028387209986620032,428,10.541322344119791,8.583822532012945,-1.5391569019766624,144,0.9938485026359558
resnet_frozen,fold7_balkan_s,18,0.7764260479222949,False,17,1e-05,1e-05,0.43705027736723423,0.10926256934180856,0.27058292366564274,0.0884722601622343,0.24574916064739227,1.0431231707334518,0.32211679220199585,0.010205309838056564,0.06122927367687225,0.03889835812151432,0.004003925248980522,4.86897149297807,3.4661676207211567,-0.025991179948955168,428,10.541407642970114,8.584705733375763,-1.5391979951211,144,0.994261622428894
