validation_fold,fraction,seed,station_code,source_fold
fold1_iberia,0.25,1,AT0PIL1,fold4_alpine
fold1_iberia,0.25,1,AT10003,fold4_alpine
fold1_iberia,0.25,1,AT2KA21,fold4_alpine
fold1_iberia,0.25,1,AT30301,fold4_alpine
fold1_iberia,0.25,1,AT30701,fold4_alpine
fold1_iberia,0.25,1,AT32301,fold4_alpine
fold1_iberia,0.25,1,AT32701,fold4_alpine
fold1_iberia,0.25,1,AT4S184,fold4_alpine
fold1_iberia,0.25,1,AT4S217,fold4_alpine
fold1_iberia,0.25,1,AT4S406,fold4_alpine
fold1_iberia,0.25,1,AT4S431,fold4_alpine
fold1_iberia,0.25,1,AT60170,fold4_alpine
fold1_iberia,0.25,1,AT60197,fold4_alpine
fold1_iberia,0.25,1,AT72110,fold4_alpine
fold1_iberia,0.25,1,AT72821,fold4_alpine
fold1_iberia,0.25,1,AT80706,fold4_alpine
fold1_iberia,0.25,1,AT90TAB,fold4_alpine
fold1_iberia,0.25,1,AT9LIES,fold4_alpine
fold1_iberia,0.25,1,BELAL03,fold2_france
fold1_iberia,0.25,1,BELEG05,fold2_france
fold1_iberia,0.25,1,BELGK37,fold2_france
fold1_iberia,0.25,1,BELHH08,fold2_france
fold1_iberia,0.25,1,BELMN01,fold2_france
fold1_iberia,0.25,1,BELOB01,fold2_france
fold1_iberia,0.25,1,BELSZ05,fold2_france
fold1_iberia,0.25,1,BETAL10,fold2_france
fold1_iberia,0.25,1,BETDU07,fold2_france
fold1_iberia,0.25,1,BETH201,fold2_france
fold1_iberia,0.25,1,BETM802,fold2_france
fold1_iberia,0.25,1,BETMEU1,fold2_france
fold1_iberia,0.25,1,BETMK02,fold2_france
fold1_iberia,0.25,1,BETN012,fold2_france
fold1_iberia,0.25,1,BETN054,fold2_france
fold1_iberia,0.25,1,BETN070,fold2_france
fold1_iberia,0.25,1,BETN100,fold2_france
fold1_iberia,0.25,1,BETR240,fold2_france
fold1_iberia,0.25,1,BETR515,fold2_france
fold1_iberia,0.25,1,BETR804,fold2_france
fold1_iberia,0.25,1,BETR817,fold2_france
fold1_iberia,0.25,1,BG0046A,fold6_balkan_e
fold1_iberia,0.25,1,BG0075A,fold6_balkan_e
fold1_iberia,0.25,1,CZ0ALIB,fold8_poland
fold1_iberia,0.25,1,CZ0ASTO,fold8_poland
fold1_iberia,0.25,1,CZ0BBDN,fold8_poland
fold1_iberia,0.25,1,CZ0BBMA,fold8_poland
fold1_iberia,0.25,1,CZ0EMTP,fold8_poland
fold1_iberia,0.25,1,CZ0HHKB,fold8_poland
fold1_iberia,0.25,1,CZ0HJIC,fold8_poland
fold1_iberia,0.25,1,CZ0KSOM,fold8_poland
fold1_iberia,0.25,1,CZ0MPHR,fold8_poland
fold1_iberia,0.25,1,CZ0MPRR,fold8_poland
fold1_iberia,0.25,1,CZ0TNSV,fold8_poland
fold1_iberia,0.25,1,CZ0TOCB,fold8_poland
fold1_iberia,0.25,1,CZ0TOHU,fold8_poland
fold1_iberia,0.25,1,CZ0TOPO,fold8_poland
fold1_iberia,0.25,1,CZ0TOSG,fold8_poland
fold1_iberia,0.25,1,CZ0TTRK,fold8_poland
fold1_iberia,0.25,1,CZ0UDOK,fold8_poland
fold1_iberia,0.25,1,CZ0USTE,fold8_poland
fold1_iberia,0.25,1,CZ0UTPM,fold8_poland
fold1_iberia,0.25,1,CZ0ZROZ,fold8_poland
fold1_iberia,0.25,1,CZ0ZZLN,fold8_poland
fold1_iberia,0.25,1,DEBW015,fold4_alpine
fold1_iberia,0.25,1,DEBW024,fold4_alpine
fold1_iberia,0.25,1,DEBW046,fold4_alpine
fold1_iberia,0.25,1,DEBW084,fold4_alpine
fold1_iberia,0.25,1,DEBW118,fold4_alpine
fold1_iberia,0.25,1,DEBW136,fold4_alpine
fold1_iberia,0.25,1,DEBW152,fold4_alpine
fold1_iberia,0.25,1,DEBY001,fold4_alpine
fold1_iberia,0.25,1,DEBY004,fold4_alpine
fold1_iberia,0.25,1,DEBY005,fold4_alpine
fold1_iberia,0.25,1,DEBY009,fold4_alpine
fold1_iberia,0.25,1,DEBY037,fold4_alpine
fold1_iberia,0.25,1,DEBY039,fold4_alpine
fold1_iberia,0.25,1,DEBY067,fold4_alpine
fold1_iberia,0.25,1,DEBY072,fold4_alpine
fold1_iberia,0.25,1,DEBY075,fold4_alpine
fold1_iberia,0.25,1,DEBY088,fold4_alpine
fold1_iberia,0.25,1,DEHE011,fold4_alpine
fold1_iberia,0.25,1,DEHE018,fold4_alpine
fold1_iberia,0.25,1,DEHE022,fold4_alpine
fold1_iberia,0.25,1,DEHE030,fold4_alpine
fold1_iberia,0.25,1,DEHE032,fold4_alpine
fold1_iberia,0.25,1,DEHE045,fold4_alpine
fold1_iberia,0.25,1,DEHE059,fold4_alpine
fold1_iberia,0.25,1,DEHE112,fold4_alpine
fold1_iberia,0.25,1,DENW006,fold4_alpine
fold1_iberia,0.25,1,DENW021,fold4_alpine
fold1_iberia,0.25,1,DENW043,fold4_alpine
fold1_iberia,0.25,1,DENW053,fold4_alpine
fold1_iberia,0.25,1,DENW058,fold4_alpine
fold1_iberia,0.25,1,DENW059,fold4_alpine
fold1_iberia,0.25,1,DENW074,fold4_alpine
fold1_iberia,0.25,1,DENW095,fold4_alpine
fold1_iberia,0.25,1,DENW114,fold4_alpine
fold1_iberia,0.25,1,DENW200,fold4_alpine
fold1_iberia,0.25,1,DENW212,fold4_alpine
fold1_iberia,0.25,1,DENW247,fold4_alpine
fold1_iberia,0.25,1,DENW259,fold4_alpine
fold1_iberia,0.25,1,DENW260,fold4_alpine
fold1_iberia,0.25,1,DENW405,fold4_alpine
fold1_iberia,0.25,1,DERP019,fold4_alpine
fold1_iberia,0.25,1,DERP024,fold4_alpine
fold1_iberia,0.25,1,DERP028,fold4_alpine
fold1_iberia,0.25,1,DERP047,fold4_alpine
fold1_iberia,0.25,1,DESL003,fold4_alpine
fold1_iberia,0.25,1,DK0030A,fold5_north
fold1_iberia,0.25,1,DK0045A,fold5_north
fold1_iberia,0.25,1,EE0009R,fold5_north
fold1_iberia,0.25,1,EE0022A,fold5_north
fold1_iberia,0.25,1,FI00280,fold5_north
fold1_iberia,0.25,1,FI00349,fold5_north
fold1_iberia,0.25,1,FI00356,fold5_north
fold1_iberia,0.25,1,FI00397,fold5_north
fold1_iberia,0.25,1,FI00425,fold5_north
fold1_iberia,0.25,1,FI00841,fold5_north
fold1_iberia,0.25,1,FR02008,fold2_france
fold1_iberia,0.25,1,FR02009,fold2_france
fold1_iberia,0.25,1,FR02013,fold2_france
fold1_iberia,0.25,1,FR02041,fold2_france
fold1_iberia,0.25,1,FR02043,fold2_france
fold1_iberia,0.25,1,FR03014,fold2_france
fold1_iberia,0.25,1,FR03064,fold2_france
fold1_iberia,0.25,1,FR03080,fold2_france
fold1_iberia,0.25,1,FR04024,fold2_france
fold1_iberia,0.25,1,FR04034,fold2_france
fold1_iberia,0.25,1,FR04055,fold2_france
fold1_iberia,0.25,1,FR04058,fold2_france
fold1_iberia,0.25,1,FR04122,fold2_france
fold1_iberia,0.25,1,FR04131,fold2_france
fold1_iberia,0.25,1,FR05089,fold2_france
fold1_iberia,0.25,1,FR05090,fold2_france
fold1_iberia,0.25,1,FR06003,fold2_france
fold1_iberia,0.25,1,FR06006,fold2_france
fold1_iberia,0.25,1,FR07052,fold2_france
fold1_iberia,0.25,1,FR08016,fold2_france
fold1_iberia,0.25,1,FR09203,fold2_france
fold1_iberia,0.25,1,FR10030,fold2_france
fold1_iberia,0.25,1,FR12004,fold2_france
fold1_iberia,0.25,1,FR12020,fold2_france
fold1_iberia,0.25,1,FR12021,fold2_france
fold1_iberia,0.25,1,FR12030,fold2_france
fold1_iberia,0.25,1,FR12095,fold2_france
fold1_iberia,0.25,1,FR14011,fold2_france
fold1_iberia,0.25,1,FR14042,fold2_france
fold1_iberia,0.25,1,FR18057,fold2_france
fold1_iberia,0.25,1,FR19012,fold2_france
fold1_iberia,0.25,1,FR19033,fold2_france
fold1_iberia,0.25,1,FR19061,fold2_france
fold1_iberia,0.25,1,FR21038,fold2_france
fold1_iberia,0.25,1,FR21050,fold2_france
fold1_iberia,0.25,1,FR23068,fold2_france
fold1_iberia,0.25,1,FR23070,fold2_france
fold1_iberia,0.25,1,FR23123,fold2_france
fold1_iberia,0.25,1,FR23152,fold2_france
fold1_iberia,0.25,1,FR24018,fold2_france
fold1_iberia,0.25,1,FR24036,fold2_france
fold1_iberia,0.25,1,FR25043,fold2_france
fold1_iberia,0.25,1,FR26017,fold2_france
fold1_iberia,0.25,1,FR26094,fold2_france
fold1_iberia,0.25,1,FR27011,fold2_france
fold1_iberia,0.25,1,FR29424,fold2_france
fold1_iberia,0.25,1,FR30019,fold2_france
fold1_iberia,0.25,1,FR31007,fold2_france
fold1_iberia,0.25,1,FR32002,fold2_france
fold1_iberia,0.25,1,FR32006,fold2_france
fold1_iberia,0.25,1,FR33220,fold2_france
fold1_iberia,0.25,1,FR34028,fold2_france
fold1_iberia,0.25,1,FR34064,fold2_france
fold1_iberia,0.25,1,FR35027,fold2_france
fold1_iberia,0.25,1,FR41001,fold2_france
fold1_iberia,0.25,1,FR41002,fold2_france
fold1_iberia,0.25,1,FR42011,fold2_france
fold1_iberia,0.25,1,FR82010,fold2_france
fold1_iberia,0.25,1,GR0039A,fold7_balkan_s
fold1_iberia,0.25,1,GR0423A,fold7_balkan_s
fold1_iberia,0.25,1,GR0455A,fold7_balkan_s
fold1_iberia,0.25,1,HR0005A,fold6_balkan_e
fold1_iberia,0.25,1,HR0011A,fold6_balkan_e
fold1_iberia,0.25,1,HR0013A,fold6_balkan_e
fold1_iberia,0.25,1,HR0021A,fold6_balkan_e
fold1_iberia,0.25,1,HR0022A,fold6_balkan_e
fold1_iberia,0.25,1,HR0031A,fold6_balkan_e
fold1_iberia,0.25,1,HR0035A,fold6_balkan_e
fold1_iberia,0.25,1,HR0043A,fold6_balkan_e
fold1_iberia,0.25,1,HR0044A,fold6_balkan_e
fold1_iberia,0.25,1,HU0030A,fold6_balkan_e
fold1_iberia,0.25,1,HU0034A,fold6_balkan_e
fold1_iberia,0.25,1,IE001WD,fold5_north
fold1_iberia,0.25,1,IE0028A,fold5_north
fold1_iberia,0.25,1,IE0030D,fold5_north
fold1_iberia,0.25,1,IE0036A,fold5_north
fold1_iberia,0.25,1,IE003AP,fold5_north
fold1_iberia,0.25,1,IE005CP,fold5_north
fold1_iberia,0.25,1,IE005DP,fold5_north
fold1_iberia,0.25,1,IE006CP,fold5_north
fold1_iberia,0.25,1,IE007DP,fold5_north
fold1_iberia,0.25,1,IE008CP,fold5_north
fold1_iberia,0.25,1,IE0108A,fold5_north
fold1_iberia,0.25,1,IE011CP,fold5_north
fold1_iberia,0.25,1,IE0131A,fold5_north
fold1_iberia,0.25,1,IE0132A,fold5_north
fold1_iberia,0.25,1,IE0142A,fold5_north
fold1_iberia,0.25,1,IE016CK,fold5_north
fold1_iberia,0.25,1,IE028D,fold5_north
fold1_iberia,0.25,1,IS0063A,fold5_north
fold1_iberia,0.25,1,IT0591A,fold3_italy
fold1_iberia,0.25,1,IT0707A,fold3_italy
fold1_iberia,0.25,1,IT0804A,fold3_italy
fold1_iberia,0.25,1,IT0863A,fold3_italy
fold1_iberia,0.25,1,IT0867A,fold3_italy
fold1_iberia,0.25,1,IT0887A,fold3_italy
fold1_iberia,0.25,1,IT0908A,fold3_italy
fold1_iberia,0.25,1,IT0956A,fold3_italy
fold1_iberia,0.25,1,IT0983A,fold3_italy
fold1_iberia,0.25,1,IT0989A,fold3_italy
fold1_iberia,0.25,1,IT1016A,fold3_italy
fold1_iberia,0.25,1,IT1048A,fold3_italy
fold1_iberia,0.25,1,IT1065A,fold3_italy
fold1_iberia,0.25,1,IT1187A,fold3_italy
fold1_iberia,0.25,1,IT1204A,fold3_italy
