experiment,fold,pollutant,n_train,n_val,n_buffer_dropped,n_train_before_buffer,best_epoch,rmse,mae,r2,n,baseline_rmse,total_parameters,trainable_parameters,frozen_parameters,role,status
cnn_deep_wide,fold1_iberia,pm25,1662,204,3,1665,10,2.33018312758167,1.798564620495277,0.1803561030468701,204,4.199973338549879,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold2_france,pm25,1392,362,115,1507,27,1.9989017009396288,1.501409489126044,-0.4595374300038672,362,4.203182751213454,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold3_italy,pm25,1558,286,25,1583,18,3.5075249645259814,2.749458204631775,0.3288895922033836,286,5.051499845035198,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold4_alpine,pm25,1466,253,150,1616,1,1.945808891291632,1.5016138116908042,-0.186887305926624,253,3.3768510166887133,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold5_north,pm25,1672,197,0,1672,1,3.418648616619979,3.002089749791608,-1.57937052453515,197,5.270858973639683,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold6_balkan_e,pm25,1658,146,65,1723,71,6.168412922723306,4.290386371188098,0.0023818105200357,146,8.296847586740398,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold7_balkan_s,pm25,1713,144,12,1725,37,6.680506833658402,4.837699455244272,-0.0198074279756292,144,9.399567815060903,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold8_poland,pm25,1538,277,54,1592,12,4.653870649026875,3.8091321681033694,-1.440511196206709,277,4.729557166067676,4536401,4536401,0,main,main_complete_cv
resnet_frozen,fold1_iberia,pm25,1662,204,3,1665,15,3.0848901477077137,2.6276607871462865,-0.4365624487031212,204,4.199973338549879,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold2_france,pm25,1392,362,115,1507,28,3.036762204135996,2.788471337223091,-2.3686348160048425,362,4.203182751213454,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold3_italy,pm25,1558,286,25,1583,205,4.495832045343397,3.40032847438744,-0.1025862941439572,286,5.051499845035198,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold4_alpine,pm25,1466,253,150,1616,27,2.165822238059462,1.839320481346106,-0.4704651462972149,253,3.3768510166887133,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold5_north,pm25,1672,197,0,1672,36,4.153117826786615,3.691461093611404,-2.8067408176043003,197,5.270858973639683,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold6_balkan_e,pm25,1658,146,65,1723,424,7.738386992192227,5.243383679519071,-0.5700676731791872,146,8.296847586740398,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold7_balkan_s,pm25,1713,144,12,1725,99,9.07296969314887,7.162637828646776,-0.8810410190407574,144,9.399567815060903,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold8_poland,pm25,1538,277,54,1592,1,5.550734978672857,4.834397524918137,-2.471787799194172,277,4.729557166067676,23766049,236065,23529984,main,main_complete_cv
