AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
01001,Flensburg,96431.0,12435.0,64697.0,19299.0,41.1,1145.0,8.3,39995.0,11.873775030851075
01002,Kiel,251751.0,31347.0,171806.0,48598.0,40.1,2772.0,7.9,44143.0,11.010879797895539
01003,LÃ¼beck,217061.0,26957.0,139437.0,50667.0,45.8,3008.0,8.1,42766.0,13.857855625837898
01004,NeumÃ¼nster,79461.0,10415.0,50816.0,18230.0,46.0,1123.0,8.6,40849.0,14.132719195580222
01051,Dithmarschen,133514.0,17328.0,81662.0,34524.0,50.2,1925.0,6.1,37960.0,14.417963659241728
01053,Herzogtum Lauenburg,205445.0,30081.0,128046.0,47318.0,47.3,2640.0,5.2,38862.0,12.850154542578306
01054,Nordfriesland,170048.0,21966.0,105161.0,42921.0,49.6,2285.0,5.0,38047.0,13.437382386149793
01055,Ostholstein,201529.0,23489.0,120378.0,57662.0,52.8,3173.0,5.0,36734.0,15.744632286172212
01056,Pinneberg,323762.0,45850.0,204885.0,73027.0,47.0,3977.0,5.5,41037.0,12.283714580463426
01057,PlÃ¶n,130635.0,17347.0,77732.0,35556.0,51.5,1871.0,4.4,34403.0,14.322348528342328
01058,Rendsburg-EckernfÃ¶rde,277888.0,38320.0,171720.0,67848.0,49.1,3587.0,4.6,38591.0,12.90807807461999
01059,Schleswig-Flensburg,204761.0,29142.0,124446.0,51173.0,49.3,2886.0,5.4,35162.0,14.094480882589947
01060,Segeberg,282268.0,40160.0,179065.0,63043.0,46.7,3496.0,5.1,42641.0,12.385392605608853
01061,Steinburg,132447.0,17840.0,83320.0,31287.0,49.1,1867.0,5.7,38717.0,14.096204519543667
01062,Stormarn,246201.0,35933.0,151714.0,58554.0,48.2,3088.0,4.2,42050.0,12.542597308703051
02000,Hamburg,1851596.0,265549.0,1253012.0,333035.0,41.0,18591.0,8.0,,10.040527199237847
03101,Braunschweig,253527.0,31263.0,168150.0,54114.0,43.1,2982.0,5.7,47750.0,11.76206084559041
03102,Salzgitter,105056.0,16280.0,64925.0,23851.0,44.7,1434.0,9.8,51806.0,13.649862930246726
03103,Wolfsburg,129347.0,19330.0,81515.0,28502.0,43.9,1612.0,6.0,74909.0,12.462600601482833
03151,Gifhorn,175876.0,27498.0,110197.0,38181.0,46.4,2049.0,4.5,39172.0,11.650253587755008
03153,Goslar,127712.0,14537.0,77248.0,35927.0,51.6,2202.0,7.2,38889.0,17.24191931846655
03154,Helmstedt,90692.0,12515.0,56146.0,22031.0,48.5,1352.0,6.7,38561.0,14.907599347241211
03155,Northeim,126310.0,16133.0,76536.0,33641.0,50.8,2000.0,6.1,39806.0,15.834059061040298
03157,Peine,136983.0,20937.0,85677.0,30369.0,46.4,1761.0,5.8,37794.0,12.855609820196666
03158,WolfenbÃ¼ttel,118540.0,16062.0,73141.0,29337.0,49.5,1588.0,5.1,37478.0,13.396321916652607
