station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status,example_group,available_modalities,available_modality_count,has_any_satellite_array,has_aer_tropomi,has_aer_wide_tropomi,has_co_tropomi,has_dem_glo30,has_high_res_multispec,has_low_res_multispec,has_no2_tropomi
FI00356,development_cv,FI,,67.96715,24.11233,fold5_north,1.766934171682823,365,362,1.766934161157379,2.773405747492548,-36,True,False,1.0525444071873837e-08,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
FI00427,development_cv,FI,,68.00049,24.24566,fold5_north,1.93367908458808,364,364,1.9336790665430277,2.8634057900945664,-35,True,False,1.8045052563309127e-08,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
SE0005R,development_cv,SE,,63.8455,15.31973,fold5_north,2.549657183180323,365,283,2.5496572875749144,3.626630482587954,-36,True,False,1.0439459119382377e-07,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
BETN113,development_cv,BE,,50.02703,5.59302,fold2_france,2.6093013133891456,366,366,2.609301394793356,4.6960375342487515,-37,True,False,8.140421048352665e-08,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
IS0063A,development_cv,IS,,64.08564,-21.82489,fold5_north,2.7850421161207732,366,366,2.785042130033856,7.75558175496951,-37,True,False,1.3913082685945712e-08,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
ES1543A,development_cv,ES,,40.735,-0.16944,fold1_iberia,2.8609026297931694,357,357,2.8609026455044955,5.803363698991836,-28,True,False,1.571132601796421e-08,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
PT05007,development_cv,PT,,37.015,-7.926674999999999,fold1_iberia,2.9053246587877393,357,363,2.9053245520754123,17.24502567881809,-28,True,False,1.0671232697490041e-07,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
IT1576A,development_cv,IT,,39.20334,8.38611,fold3_italy,2.9805102830272476,356,363,2.980510393258427,26.50523338842975,-27,True,False,1.1023117929553905e-07,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
ES1386A,development_cv,ES,,40.01278,-0.05722,fold1_iberia,3.0341173559053014,354,354,3.034117489490358,4.4865099837697775,-25,True,False,1.335850567940611e-07,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
DEBW031,development_cv,DE,Baden-Wuerttemberg,47.80989,7.76453,fold4_alpine,3.1259075106010807,366,366,3.125907544874704,5.5277575603638205,-37,True,False,3.427362349484042e-08,computed,lowest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
TR0049A,development_cv,TR,,39.92611,44.05361,fold7_balkan_s,49.00577017408457,347,366,49.005770999423625,89.44090213242471,-18,True,False,8.253390575418962e-07,computed,highest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
RS0055A,development_cv,RS,,43.1397,20.51635,fold6_balkan_e,41.31696448730704,366,366,41.31696636412093,49.83301733666181,-37,True,False,1.8768138900782103e-06,computed,highest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
RS0030A,development_cv,RS,,43.31655,21.91355,fold6_balkan_e,36.00295118963324,365,365,36.00295034861866,36.24718740308006,-36,True,False,8.410145753146026e-07,computed,highest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
BA0047A,development_cv,BA,,45.07,17.59,fold6_balkan_e,33.3939183402549,363,366,33.393917667867115,37.74849770690685,-34,True,False,6.723877845615789e-07,computed,highest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
TR061721,development_cv,TR,,39.96458,32.90718,fold7_balkan_s,32.5628682355785,361,364,32.56286674855006,64.24402230634489,-32,True,False,1.4870284417156654e-06,computed,highest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
BA0065A,development_cv,BA,,44.798,17.204,fold6_balkan_e,32.34282050422839,341,341,32.34282009900208,38.737477651374945,-12,True,False,4.0522630939676674e-07,computed,highest_10,"aer_tropomi,aer_wide_tropomi,co_tropomi,dem_glo30,high_res_multispec,low_res_multispec,no2_tropomi",7,True,True,True,True,True,True,True,True
