station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status,pm25_valid_day_bin
FR03021,development_cv,FR,,43.52407,5.44816,fold2_france,17.13611121955853,6,357,17.13611111111111,18.94110364863062,323,False,True,1.0844741993309981e-07,computed,0-181
FR31017,development_cv,FR,,43.49404,-1.52875,fold2_france,13.424702384683686,14,350,13.42470238095238,19.339480709409003,315,False,True,3.731305042720123e-09,computed,0-181
SE38350,development_cv,SE,,55.70334,13.18028,fold5_north,6.281235318898432,33,366,6.28123525,11.863933028175625,296,False,True,6.889843184865185e-08,computed,0-181
LT00002,development_cv,LT,,54.68611,25.210835000000003,fold5_north,6.178846165835086,52,356,6.178846153846154,13.368900516575849,277,False,True,1.1988932513418149e-08,computed,0-181
HU0023A,development_cv,HU,,47.51333,21.62445,fold6_balkan_e,19.98311931451001,54,350,19.98311898148148,21.908571428571427,275,False,True,3.3302853097438856e-07,computed,0-181
FR35007,development_cv,FR,,45.87331,1.30792,fold2_france,9.756946996437089,56,362,9.756946966712414,11.891460961021304,273,False,True,2.972467427753145e-08,computed,0-181
ES1718A,development_cv,ES,,38.1744,-3.01022,fold1_iberia,12.964912317114736,57,365,12.964912280701755,28.09949628785945,272,False,True,3.641298107481816e-08,computed,0-181
DENW042,development_cv,DE,Nordrhein-Westfalen,51.33767,6.64024,fold4_alpine,9.92607777382304,58,366,9.92607777525711,15.272024895445417,271,False,True,1.4340688636593768e-09,computed,0-181
ES1529A,development_cv,ES,,43.46778,-3.79028,fold1_iberia,7.380952401021734,63,366,7.380952380952381,18.222041544474205,266,False,True,2.0069352402174445e-08,computed,0-181
ES1037A,development_cv,ES,,43.36764,-4.043195,fold1_iberia,8.203125063267965,64,362,8.203125,16.08431181144575,265,False,True,6.326796508915322e-08,computed,0-181
ES1530A,development_cv,ES,,43.006525,-4.13556,fold1_iberia,5.4531249735801595,64,365,5.453125,10.698401014312271,265,False,True,2.6419840537528216e-08,computed,0-181
ES1578A,development_cv,ES,,43.38264,-3.220975,fold1_iberia,6.156249996670403,64,363,6.15625,11.828926637353325,265,False,True,3.3295970425228916e-09,computed,0-181
ES1799A,development_cv,ES,,37.89261,-4.76234,fold1_iberia,10.589062496780034,64,366,10.5890625,23.50948550856585,265,False,True,3.219966515644046e-09,computed,0-181
TR590341,development_cv,TR,,41.31835,27.98018,fold7_balkan_s,27.171400099468016,73,366,27.17139956368329,32.565792330870735,256,False,True,5.357847250309078e-07,computed,0-181
ES1601A,development_cv,ES,,38.88763,-7.01145,fold1_iberia,8.417333281602042,75,361,8.417333333333334,17.595581488511822,254,False,True,5.173129125068954e-08,computed,0-181
ES1616A,development_cv,ES,,39.84917,-5.93972,fold1_iberia,6.721333388447889,75,360,6.721333333333334,10.737795298903993,254,False,True,5.511455558604439e-08,computed,0-181
DENW040,development_cv,DE,Nordrhein-Westfalen,51.38526,6.763,fold4_alpine,9.966446658197482,77,366,9.966446645021644,12.113048974831637,252,False,True,1.3175837310086536e-08,computed,0-181
TR343741,development_cv,TR,,41.0327,28.8429,fold7_balkan_s,22.3134154946664,94,349,22.313415217606934,42.411501669197754,235,False,True,2.7705946692435646e-07,computed,0-181
IT1962A,development_cv,IT,,41.47889,14.03333,fold3_italy,23.70796481416292,113,341,23.707964601769913,31.366568914956012,216,False,True,2.1239300806996653e-07,computed,0-181
ES0126A,development_cv,ES,,40.39472,-3.73194,fold1_iberia,12.948717849169926,117,363,12.948717948717949,24.632188658763152,212,False,True,9.95480231580359e-08,computed,0-181
ES1472A,development_cv,ES,,42.80661,-1.652195,fold1_iberia,12.256198421599471,121,363,12.256198347107437,12.879380837404312,208,False,True,7.449203387466241e-08,computed,0-181
TR220341,development_cv,TR,,40.85121,26.63529,fold7_balkan_s,24.310107338621187,128,360,24.310107488442448,42.147109544504744,201,False,True,1.4982126117502048e-07,computed,0-181
FR18089,development_cv,FR,,49.43593,2.08429,fold2_france,10.07299578345419,143,339,10.072995792930946,15.490742925240355,186,False,True,9.476757156789972e-09,computed,0-181
FR28028,development_cv,FR,,50.53539,2.63569,fold2_france,8.526686994928667,145,346,8.526686933160818,12.958212631248617,184,False,True,6.17678495018481e-08,computed,0-181
TR800341,development_cv,TR,,37.08572,36.25437,fold7_balkan_s,31.06982134747327,152,366,31.069821396401924,100.80349259445123,177,False,True,4.892865490546683e-08,computed,0-181
DERP045,development_cv,DE,Rheinland-Pfalz,50.35937,7.59224,fold4_alpine,8.701219906427335,155,365,8.701219917771686,13.70983758245814,174,False,True,1.1344351236175498e-08,computed,0-181
PT04003,development_cv,PT,,37.86889,-8.72028,fold1_iberia,11.807548886220976,163,351,11.807548884710057,14.473128313695454,166,False,True,1.5109193896023498e-09,computed,0-181
DENW094,development_cv,DE,Nordrhein-Westfalen,50.754715,6.093875,fold4_alpine,6.998882645317614,179,361,6.998882681564246,12.740580998247154,150,False,True,3.624663236223569e-08,computed,0-181
DENW006,development_cv,DE,Nordrhein-Westfalen,51.592205,7.5698,fold4_alpine,9.174033189486805,181,366,9.17403314917127,14.016256718579289,148,False,True,4.031553402228383e-08,computed,0-181
DENW034,development_cv,DE,Nordrhein-Westfalen,51.524025,6.74838,fold4_alpine,9.621978031844066,182,366,9.621978021978022,16.03037141267917,147,False,True,9.866043981787698e-09,computed,182-328
DENW059,development_cv,DE,Nordrhein-Westfalen,50.88982,6.98516,fold4_alpine,7.646537628492005,182,365,7.646537721982987,11.809264044916558,147,False,True,9.34909820671237e-08,computed,182-328
IE0098A,development_cv,IE,,53.34167,-6.28889,fold5_north,6.350270168836831,185,358,6.35027027027027,11.575418994413408,144,False,True,1.0143343942559113e-07,computed,182-328
AT55032,development_cv,AT,,47.12566,13.80804,fold4_alpine,8.342083884527245,196,366,8.34208386369182,12.106434839276714,133,False,True,2.0835424052734197e-08,computed,182-328
DENW043,development_cv,DE,Nordrhein-Westfalen,51.45118,7.0306,fold4_alpine,10.135705635705692,208,366,10.135705628671426,15.507056091727101,121,False,True,7.034266502614628e-09,computed,182-328
AT56072,development_cv,AT,,47.32664,12.79512,fold4_alpine,6.774959103364405,213,360,6.774959036270316,9.356201559977453,116,False,True,6.709408939542527e-08,computed,182-328
TR0080A,development_cv,TR,,41.72446,27.2145,fold7_balkan_s,7.384228622504429,215,366,7.384228560242517,34.49108342941596,114,False,True,6.22619120704826e-08,computed,182-328
RO0142A,development_cv,RO,,45.43154,28.05474,fold6_balkan_e,14.463021132395514,227,341,14.463021145374448,17.83832697947214,102,False,True,1.2978933483509536e-08,computed,182-328
TR010641,development_cv,TR,,37.03993,35.26991,fold7_balkan_s,12.045434508328947,230,350,12.045434488480627,41.548460101220165,99,False,True,1.9848320320647872e-08,computed,182-328
AT52300,development_cv,AT,,47.69135,13.10815,fold4_alpine,6.4760753915450335,231,365,6.476075283684311,10.891445750798242,98,False,True,1.0786072213164744e-07,computed,182-328
AT72821,development_cv,AT,,47.34877,11.69203,fold4_alpine,8.839339278856434,231,366,8.839339316644708,15.499566732624597,98,False,True,3.7788273843375464e-08,computed,182-328
ES1641A,development_cv,ES,,41.63528,-0.89361,fold1_iberia,10.23529411524026,238,355,10.235294117647058,21.024323030487885,91,False,True,2.406798316201275e-09,computed,182-328
DENW337,development_cv,DE,Nordrhein-Westfalen,51.0976,6.4695,fold4_alpine,8.880731365858574,252,366,8.880731409283799,17.090192259519814,77,False,True,4.3425224305337906e-08,computed,182-328
RO0112A,development_cv,RO,,47.73992,26.65852,fold6_balkan_e,10.311338585439737,254,341,10.311338582677164,26.235454545454548,75,False,True,2.7625723930668755e-09,computed,182-328
TR0070A,development_cv,TR,,38.20384,37.19834,fold7_balkan_s,21.929337871342472,256,366,21.929338392048397,65.17900106871829,73,False,True,5.207059246004064e-07,computed,182-328
IT1788A,development_cv,IT,,45.4512,7.878,fold3_italy,19.027131857330097,258,358,19.027131782945737,22.337988826815643,71,False,True,7.438436000484216e-08,computed,182-328
FR23123,development_cv,FR,,48.0693,-0.76813,fold2_france,7.673693394840424,262,363,7.673693380272786,12.300895475812831,67,False,True,1.4567637762752383e-08,computed,182-328
IT2078A,development_cv,IT,,38.87028,16.66917,fold3_italy,6.453625909677021,262,364,6.453625954198473,15.81098901098901,67,False,True,4.452145141442543e-08,computed,182-328
IT2204A,development_cv,IT,,40.32423,15.86736,fold3_italy,13.023791959243091,269,342,13.023791821561339,18.93798245614035,60,False,True,1.376817522213969e-07,computed,182-328
MK0048A,development_cv,MK,,42.006,21.387,fold7_balkan_s,21.24905393896285,271,363,21.249054172015484,36.734753300747876,58,False,True,2.3305263496808948e-07,computed,182-328
MK0042A,development_cv,MK,,41.53583,20.6989,fold7_balkan_s,8.492181517608252,272,361,8.492181475031273,11.501891299627825,57,False,True,4.25769783873875e-08,computed,182-328
MK0047A,development_cv,MK,,41.992,21.423,fold7_balkan_s,20.279018803849684,273,364,20.27901884241902,43.77410989235348,56,False,True,3.8569336169302915e-08,computed,182-328
FR25051,development_cv,FR,,49.91801,1.07397,fold2_france,10.12221179410154,277,362,10.12221177045455,17.321261449300867,52,False,True,2.364699014378857e-08,computed,182-328
IT1582A,development_cv,IT,,45.1361,8.4452,fold3_italy,13.696818241995809,278,343,13.696818257599334,20.74868328898124,51,False,True,1.5603525582719158e-08,computed,182-328
PL0523A,development_cv,PL,,50.45366,20.71544,fold8_poland,15.864436374575863,284,338,15.86443661971831,22.4896449704142,45,False,True,2.4514244678641717e-07,computed,182-328
AT30701,development_cv,AT,,48.52832,15.94185,fold4_alpine,8.157288334854206,286,366,8.157288240415712,12.898316063341902,43,False,True,9.443849435797347e-08,computed,182-328
IT2202A,development_cv,IT,,40.28839,15.89143,fold3_italy,10.272578413571162,287,341,10.272578397212543,20.824105571847507,42,False,True,1.6358619348011416e-08,computed,182-328
