station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
AD0942A,development_cv,AD,,42.50969,1.53914,fold1_iberia,6.530256516739194,343,343,6.530256360967124,15.374325292887718,-14,True,False,1.5577206990968762e-07,computed
ES0001R,development_cv,ES,,39.54694,-4.35056,fold1_iberia,8.071823233153939,362,362,8.07182320441989,15.220994475138122,-33,True,False,2.8734049806189432e-08,computed
ES0006R,development_cv,ES,,39.87528,4.31639,fold1_iberia,4.417391409032867,345,317,4.417391304347826,16.460567823343847,-16,True,False,1.0468504108018806e-07,computed
ES0010R,development_cv,ES,,42.31917,3.31583,fold1_iberia,7.158415910931605,303,343,7.158415841584159,13.425655976676385,26,False,True,6.934744600783915e-08,computed
ES0011R,development_cv,ES,,38.47278,-6.92361,fold1_iberia,10.03999999490177,350,299,10.04,15.949832775919733,-21,True,False,5.09822939420701e-09,computed
ES0012R,development_cv,ES,,39.08278,-1.10111,fold1_iberia,5.696531888102402,346,358,5.696531791907514,13.374301675977653,-17,True,False,9.619488761103412e-08,computed
ES0013R,development_cv,ES,,41.23889,-5.8975,fold1_iberia,4.367231749677824,354,337,4.367231638418079,8.931750741839762,-25,True,False,1.1125974541670303e-07,computed
ES0014R,development_cv,ES,,41.39389,0.73472,fold1_iberia,5.871257602138668,334,330,5.87125748502994,11.13030303030303,-5,True,False,1.1710872804826522e-07,computed
ES0016R,development_cv,ES,,42.63472,-7.70472,fold1_iberia,4.023121317928194,346,346,4.023121387283237,8.306358381502891,-17,True,False,6.935504348604127e-08,computed
ES0041A,development_cv,ES,,43.25883,-2.94565,fold1_iberia,10.13084094422823,365,365,10.130840945832013,15.723760368081393,-36,True,False,1.6037819960956767e-09,computed
ES0094A,development_cv,ES,,43.40556,-7.98889,fold1_iberia,5.256614538240563,364,363,5.25661450145241,8.565248487757245,-35,True,False,3.6788152968370014e-08,computed
ES0110A,development_cv,ES,,43.30278,-2.97722,fold1_iberia,8.29836310403051,366,366,8.298363200314375,14.632758592282824,-37,True,False,9.628386443694126e-08,computed
ES0118A,development_cv,ES,,40.42167,-3.68222,fold1_iberia,10.008487275313684,365,365,10.008487277754504,21.654803556685366,-36,True,False,2.440820878746308e-09,computed
ES0126A,development_cv,ES,,40.39472,-3.73194,fold1_iberia,12.948717849169926,117,363,12.948717948717949,24.632188658763152,212,False,True,9.95480231580359e-08,computed
ES0201A,development_cv,ES,,43.45,-7.84722,fold1_iberia,5.398169772827739,345,345,5.398169696447655,7.540497621673082,-16,True,False,7.638008359123205e-08,computed
ES0339A,development_cv,ES,,43.687165,-7.506945,fold1_iberia,5.9164816307934975,366,366,5.916481592475,13.062334396814082,-37,True,False,3.8318497708189625e-08,computed
ES0343A,development_cv,ES,,43.6844,-7.4319,fold1_iberia,6.5210252990860464,343,223,6.5210254231945,11.725548558291988,-14,True,False,1.241084532921377e-07,computed
ES0392A,development_cv,ES,,41.39417,1.84028,fold1_iberia,10.512157537693874,292,342,10.512157534246576,22.06763157894737,37,False,True,3.4472975585231325e-09,computed
ES0559A,development_cv,ES,,41.38917,2.16528,fold1_iberia,15.405521531144366,326,338,15.405521472392637,23.85414201183432,3,False,True,5.8751728815309434e-08,computed
ES0567A,development_cv,ES,,41.38611,2.12167,fold1_iberia,11.892463707025431,345,347,11.892463768115942,20.67521613832853,-16,True,False,6.109051042813007e-08,computed
ES0587A,development_cv,ES,,43.32074,-3.11272,fold1_iberia,5.959809601855411,366,366,5.959809568549767,10.851426545261186,-37,True,False,3.330564357639787e-08,computed
ES0691A,development_cv,ES,,41.40417,2.20528,fold1_iberia,13.150285651798727,350,351,13.150285714285715,19.703418803418803,-21,True,False,6.248698802835406e-08,computed
ES0692A,development_cv,ES,,41.37194,2.11583,fold1_iberia,9.175135980014614,331,348,9.17513595166163,22.629265901419675,-2,True,False,2.835298396064445e-08,computed
ES0805A,development_cv,ES,,43.241105000000005,-2.883935,fold1_iberia,8.109898915139464,366,366,8.109898817623337,15.781557557038669,-37,True,False,9.751612672914689e-08,computed
ES0825A,development_cv,ES,,43.30639,-5.68972,fold1_iberia,8.192191924438703,362,366,8.192192009263294,15.561000454340384,-33,True,False,8.482459179504076e-08,computed
